date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:19:37	124/124	---MCZ	200	added ('OK')	text/plain	date:Tue,%2011%20Jan%202022%2021:19:43%20GMT	https://anerdsworld.com/robots.txt		(from )
02:19:39	267952/267952	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jan%202022%2021:19:45%20GMT	https://anerdsworld.com/	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/index.html	(from )
02:19:40	66640/66640	---M--	200	added ('OK')	image/jpeg	etag:%225bef0dc8-10450%22	https://anerdsworld.com/wp-content/uploads/2016/07/chris-profile.jpg	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/uploads/2016/07/chris-profile.jpg	(from https://anerdsworld.com/)
02:19:41	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2011%20Jan%202022%2021:19:47%20GMT	https://anerdsworld.com/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-admin/admin-ajax.php	(from https://anerdsworld.com/)
02:19:41	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/webdesignpro-new/www.google-analytics.com/analytics.js	(from https://anerdsworld.com/)
02:20:11	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Jan%202022%2021:20:13%20GMT	http://fonts.googleapis.com/	C:/My%20Web%20Sites/webdesignpro-new/fonts.googleapis.com/index.html	(from https://anerdsworld.com/)
02:20:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Jan%202022%2021:20:18%20GMT	http://s.w.org/	C:/My%20Web%20Sites/webdesignpro-new/s.w.org/index.html	(from https://anerdsworld.com/)
02:20:11	24655/24655	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261b05f38-604f%22	https://anerdsworld.com/wp-content/plugins/all-in-one-seo-pack/app/Common/Assets/js/autotrack.js?ver=4.1.5.3'%20defer	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/all-in-one-seo-pack/app/Common/Assets/js/autotrack58fd.js	(from https://anerdsworld.com/)
02:20:13	80574/80574	---MCZ	200	added ('OK')	text/css	etag:W/%2260fa7daf-13abe%22	https://anerdsworld.com/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-includes/css/dist/block-library/style.min.css	(from https://anerdsworld.com/)
02:20:13	751/751	---MC-	200	added ('OK')	application/rss+xml	etag:%22e81d322526f66c9650dcfa27126c8213%22	https://anerdsworld.com/comments/feed/	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/comments/feed/index.html	(from https://anerdsworld.com/)
02:20:13	37195/37195	---MC-	200	added ('OK')	application/rss+xml	etag:%226b6f525020a796907bf4c861f1dd788b%22	https://anerdsworld.com/feed/	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/feed/index.html	(from https://anerdsworld.com/)
02:20:14	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%2261da1800-aab%22	https://anerdsworld.com/wp-content/plugins/contact-form-7/includes/css/styles.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://anerdsworld.com/)
02:20:14	28207/28207	---MCZ	200	added ('OK')	text/css	etag:W/%225bdb490c-6e2f%22	https://anerdsworld.com/wp-content/plugins/formcraft/dist/formcraft-common.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/formcraft/dist/formcraft-common.css	(from https://anerdsworld.com/)
02:20:14	63958/63958	---MCZ	200	added ('OK')	text/css	etag:W/%225bdb490c-f9d6%22	https://anerdsworld.com/wp-content/plugins/formcraft/dist/form.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/formcraft/dist/form.css	(from https://anerdsworld.com/)
02:20:15	4648/4648	---MCZ	200	added ('OK')	text/css	etag:W/%2261da182b-1228%22	https://anerdsworld.com/wp-content/plugins/stripe-payments/public/assets/css/public.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/stripe-payments/public/assets/css/public.css	(from https://anerdsworld.com/)
02:20:15	4474/4474	---MCZ	200	added ('OK')	text/css	etag:W/%22613b4b86-117a%22	https://anerdsworld.com/wp-content/plugins/youtubefancybox/css/colorbox.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/youtubefancybox/css/colorbox.css	(from https://anerdsworld.com/)
02:20:15	7153/7153	---MCZ	200	added ('OK')	text/css	etag:W/%225bef0eac-1bf1%22	https://anerdsworld.com/wp-content/plugins/easy-social-share-buttons3/lib/modules/click-to-tweet/assets/css/styles.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/easy-social-share-buttons3/lib/modules/click-to-tweet/assets/css/styles.css	(from https://anerdsworld.com/)
02:20:16	100117/100117	---MCZ	200	added ('OK')	text/css	etag:W/%225bef0ea4-18715%22	https://anerdsworld.com/wp-content/plugins/easy-social-share-buttons3/assets/css/default-retina/easy-social-share-buttons.min.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/easy-social-share-buttons3/assets/css/default-retina/easy-social-share-buttons.min.css	(from https://anerdsworld.com/)
02:20:16	2560/2560	---MCZ	200	added ('OK')	text/css	etag:W/%22619e72ee-a00%22	https://anerdsworld.com/wp-content/plugins/lazy-load-for-videos/public/css/lazyload-shared.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/plugins/lazy-load-for-videos/public/css/lazyload-shared.css	(from https://anerdsworld.com/)
02:20:17	1965/1965	---MCZ	200	added ('OK')	text/css	etag:W/%225bef0c66-7ad%22	https://anerdsworld.com/wp-content/themes/anerdsworld/style.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/themes/anerdsworld/style.css	(from https://anerdsworld.com/)
02:20:17	49218/49218	---MCZ	200	added ('OK')	text/css	etag:W/%225bef0c66-c042%22	https://anerdsworld.com/wp-content/themes/betheme/css/base.css	C:/My%20Web%20Sites/webdesignpro-new/anerdsworld.com/wp-content/themes/betheme/css/base.css	(from https://anerdsworld.com/)
